"urban_population","district_name","urban"
100,"Hl.m. Praha",1204953
46.7,"Benesov",41509
41.7,"Beroun",31372
67.4,"Kladno",101028
51.4,"Kolin",49147
51.5,"Kutna Hora",40151
63.4,"Melnik",60056
69.4,"Mlada Boleslav",77773
55.3,"Nymburk",44983
46.7,"Praha - vychod",43003
36.5,"Praha - zapad",27608
58,"Pribram",62565
41.3,"Rakovnik",22269
74.8,"Ceske Budejovice",132909
51.9,"Cesky Krumlov",30515
56.9,"Jindrichuv Hradec",53447
61.4,"Pelhrimov",45474
65.3,"Pisek",46166
52.7,"Prachatice",27103
58.4,"Strakonice",41257
67,"Tabor",69242
52.4,"Domazlice",30602
85.5,"Cheb",74743
80,"Karlovy Vary",98082
61.7,"Klatovy",54763
100,"Plzen - mesto",170449
43.8,"Plzen - jih",29477
36.9,"Plzen - sever",26768
55.6,"Rokycany",25417
81.8,"Sokolov",77556
59.2,"Tachov",30377
81,"Ceska Lipa",85097
84.7,"Decin",113309
87.7,"Chomutov",109832
80.5,"Jablonec n. Nisou",71458
85.2,"Liberec",135994
62.3,"Litomerice",71026
59.8,"Louny",51339
89.9,"Most",107786
85.3,"Teplice",109285
85.6,"Usti nad Labem",101564
59.1,"Havlickuv Brod",56681
76.3,"Hradec Kralove",123495
53,"Chrudim",55971
53.5,"Jicin",41686
73.5,"Nachod",82841
72.8,"Pardubice",118358
59,"Rychnov nad Kneznou",46583
60.8,"Semily",46016
52,"Svitavy",53357
70.5,"Trutnov",85973
61.9,"Usti nad Orlici",86048
50.9,"Blansko",54927
100,"Brno - mesto",387570
33.9,"Brno - venkov",53237
46,"Breclav",57318
48,"Hodonin",77738
63.6,"Jihlava",69428
62.1,"Kromeriz",67609
51.9,"Prostejov",57424
53.8,"Trebic",63429
40.7,"Uherske Hradiste",59295
50.5,"Vyskov",43689
74.7,"Zlin",147233
43.7,"Znojmo",49905
48.3,"Zdar nad Sazavou",60777
63.1,"Bruntal",66920
57.2,"Frydek - Mistek",130901
48.4,"Jesenik",20725
89.9,"Karvina",256563
69.7,"Novy Jicin",112375
62.6,"Olomouc",141552
56.4,"Opava",102663
100,"Ostrava - mesto",323870
64.6,"Prerov",89169
51.2,"Sumperk",65213
53.5,"Vsetin",79472
