"status","M-Y","no_of_accounts","no_of_trans","moved_amount"
"A","April-1993",39,121,1337453
"A","April-1994",110,614,4757468
"A","April-1995",143,767,5616661
"A","April-1996",177,953,7486553
"A","April-1997",202,1167,8432171
"A","April-1998",203,1174,8746011
"A","August-1993",72,315,3087458
"A","August-1994",122,692,5924554
"A","August-1995",151,839,6252532
"A","August-1996",191,1102,8899914
"A","August-1997",203,1194,9396113
"A","August-1998",203,1180,8927306
"A","December-1993",103,558,5481573
"A","December-1994",130,832,6930742
"A","December-1995",159,1015,8584796
"A","December-1996",197,1304,10666531
"A","December-1997",203,1375,12069920
"A","December-1998",201,1018,10268651
"A","February-1993",17,42,361805
"A","February-1994",106,530,3722916
"A","February-1995",137,707,4854732
"A","February-1996",165,902,6022329
"A","February-1997",199,1079,7438690
"A","February-1998",203,1091,7566320
"A","January-1993",7,10,55742
"A","January-1994",104,826,5618348
"A","January-1995",136,1204,7577886
"A","January-1996",160,1500,10107208
"A","January-1997",198,1804,11355975
"A","January-1998",203,1864,11381279
"A","July-1993",65,280,2812214
"A","July-1994",120,665,5071156
"A","July-1995",149,860,6718503
"A","July-1996",190,1060,8450678
"A","July-1997",203,1196,9139687
"A","July-1998",203,1212,9582300
"A","June-1993",55,218,2643830
"A","June-1994",115,682,6168624
"A","June-1995",148,863,7914163
"A","June-1996",187,1052,9674703
"A","June-1997",203,1272,12214512
"A","June-1998",203,1257,11691796
"A","March-1993",31,85,840236
"A","March-1994",106,567,4318853
"A","March-1995",140,775,6030256
"A","March-1996",176,941,6916248
"A","March-1997",201,1195,9395380
"A","March-1998",203,1167,8424867
"A","May-1993",48,164,1942448
"A","May-1994",113,648,5131348
"A","May-1995",144,839,6577108
"A","May-1996",183,998,7862279
"A","May-1997",202,1169,9160591
"A","May-1998",203,1170,8956586
"A","November-1993",99,434,3356092
"A","November-1994",128,698,5077937
"A","November-1995",157,884,6041772
"A","November-1996",197,1129,8847681
"A","November-1997",203,1189,9286273
"A","November-1998",203,1184,8807356
"A","October-1993",88,411,3727257
"A","October-1994",125,701,5326365
"A","October-1995",152,866,6280832
"A","October-1996",194,1139,8619839
"A","October-1997",203,1251,10503822
"A","October-1998",203,1192,9338356
"A","September-1993",82,355,2990187
"A","September-1994",123,683,5533009
"A","September-1995",151,838,6231319
"A","September-1996",193,1114,8598843
"A","September-1997",203,1247,10774544
"A","September-1998",203,1170,8431280
"B","April-1993",5,16,274780
"B","April-1994",18,88,793797
"B","April-1995",23,102,713606
"B","April-1996",28,149,1134211
"B","April-1997",31,166,1323585
"B","April-1998",31,164,1291838
"B","August-1993",11,46,509708
"B","August-1994",18,96,704072
"B","August-1995",25,146,1237916
"B","August-1996",30,174,1444558
"B","August-1997",31,176,1654001
"B","August-1998",31,179,1424065
"B","December-1993",17,100,969288
"B","December-1994",20,118,797771
"B","December-1995",28,144,750785
"B","December-1996",31,190,1225044
"B","December-1997",31,205,1402429
"B","December-1998",30,174,1740119
"B","February-1993",1,3,32992
"B","February-1994",17,84,605752
"B","February-1995",20,94,569906
"B","February-1996",28,146,1114365
"B","February-1997",31,161,1180655
"B","February-1998",31,170,1034159
"B","January-1993",1,3,21078
"B","January-1994",17,126,959814
"B","January-1995",19,171,1026764
"B","January-1996",28,212,1485642
"B","January-1997",31,281,1954616
"B","January-1998",31,269,1940803
"B","July-1993",8,34,410141
"B","July-1994",19,99,688833
"B","July-1995",24,128,1076022
"B","July-1996",30,164,1196896
"B","July-1997",31,198,1878307
"B","July-1998",31,172,1052059
"B","June-1993",8,38,364645
"B","June-1994",19,115,1234911
"B","June-1995",23,114,839846
"B","June-1996",29,149,1128581
"B","June-1997",31,193,2054131
"B","June-1998",31,197,1853746
"B","March-1993",4,12,133036
"B","March-1994",18,95,705224
"B","March-1995",21,105,870346
"B","March-1996",28,137,1059085
"B","March-1997",31,186,1606202
"B","March-1998",31,169,1201245
"B","May-1993",6,26,405471
"B","May-1994",19,99,690489
"B","May-1995",23,123,934572
"B","May-1996",29,167,1358607
"B","May-1997",31,187,1709224
"B","May-1998",31,174,1516414
"B","November-1993",15,85,1082085
"B","November-1994",20,109,1117147
"B","November-1995",26,131,832736
"B","November-1996",31,164,1125413
"B","November-1997",31,176,1460710
"B","November-1998",31,196,1723135
"B","October-1993",13,66,648317
"B","October-1994",19,93,694619
"B","October-1995",26,127,755126
"B","October-1996",30,170,1514416
"B","October-1997",31,180,1435813
"B","October-1998",31,190,1345043
"B","September-1993",12,68,930647
"B","September-1994",19,101,1010617
"B","September-1995",25,134,962287
"B","September-1996",30,175,1456714
"B","September-1997",31,179,1365944
"B","September-1998",31,187,1379504
"C","April-1993",3,6,22614
"C","April-1994",29,145,884530
"C","April-1995",75,362,2825901
"C","April-1996",167,764,5327695
"C","April-1997",329,1714,13499473
"C","April-1998",403,2228,16329104
"C","August-1993",12,46,492637
"C","August-1994",40,187,1272917
"C","August-1995",100,495,3965864
"C","August-1996",230,1094,8838507
"C","August-1997",374,1999,14631835
"C","August-1998",403,2267,16816703
"C","December-1993",22,97,780601
"C","December-1994",53,300,2659999
"C","December-1995",119,682,5630698
"C","December-1996",290,1591,14973008
"C","December-1997",401,2480,20868544
"C","December-1998",401,2041,19931732
"C","February-1994",27,116,861023
"C","February-1995",64,290,1936915
"C","February-1996",142,662,5009871
"C","February-1997",312,1464,10574918
"C","February-1998",403,2107,14868039
"C","January-1994",25,139,1001998
"C","January-1995",60,420,2875982
"C","January-1996",131,961,6031339
"C","January-1997",303,2289,15089241
"C","January-1998",402,3471,22281876
"C","July-1993",9,30,236881
"C","July-1994",37,189,1458769
"C","July-1995",93,471,4082786
"C","July-1996",213,990,8002578
"C","July-1997",363,1943,14635812
"C","July-1998",403,2274,16507907
"C","June-1993",8,26,391624
"C","June-1994",35,184,1633976
"C","June-1995",86,449,4495487
"C","June-1996",192,920,8822650
"C","June-1997",352,1970,18039465
"C","June-1998",403,2454,23455625
"C","March-1993",1,1,300
"C","March-1994",29,137,1046397
"C","March-1995",69,339,2721252
"C","March-1996",152,738,5600232
"C","March-1997",318,1659,12788581
"C","March-1998",402,2271,16830544
"C","May-1993",6,18,155370
"C","May-1994",31,161,1291445
"C","May-1995",82,391,3080359
"C","May-1996",178,844,6842956
"C","May-1997",341,1797,13152240
"C","May-1998",403,2278,16760961
"C","November-1993",21,88,839116
"C","November-1994",50,261,2157725
"C","November-1995",116,582,4784775
"C","November-1996",270,1302,10267100
"C","November-1997",400,2140,15581871
"C","November-1998",403,2232,16203468
"C","October-1993",19,67,514066
"C","October-1994",44,245,1971078
"C","October-1995",108,559,4393451
"C","October-1996",253,1267,10447642
"C","October-1997",397,2130,15946222
"C","October-1998",403,2257,17438232
"C","September-1993",15,49,443238
"C","September-1994",42,221,1896834
"C","September-1995",102,503,3933715
"C","September-1996",241,1125,8760728
"C","September-1997",388,2017,14794928
"C","September-1998",403,2292,18079396
"D","April-1993",1,2,5317
"D","April-1994",7,43,328504
"D","April-1995",12,70,595952
"D","April-1996",27,120,885915
"D","April-1997",40,223,1660750
"D","April-1998",45,254,2247317
"D","August-1993",3,10,32883
"D","August-1994",10,45,197753
"D","August-1995",16,72,643143
"D","August-1996",30,146,1126585
"D","August-1997",45,203,1203939
"D","August-1998",45,273,2661772
"D","December-1993",6,29,190220
"D","December-1994",11,61,373102
"D","December-1995",19,101,711514
"D","December-1996",40,220,1923156
"D","December-1997",45,269,1785379
"D","December-1998",42,197,1673423
"D","February-1994",7,36,212225
"D","February-1995",12,78,678604
"D","February-1996",23,104,687867
"D","February-1997",40,198,1239314
"D","February-1998",45,252,1661387
"D","January-1994",7,57,234325
"D","January-1995",12,111,697608
"D","January-1996",23,147,830356
"D","January-1997",39,314,2272576
"D","January-1998",45,369,2573574
"D","July-1993",3,5,29828
"D","July-1994",9,50,381505
"D","July-1995",13,68,502193
"D","July-1996",30,151,1193178
"D","July-1997",44,222,1685498
"D","July-1998",45,273,2598502
"D","June-1993",2,4,20434
"D","June-1994",9,46,361391
"D","June-1995",12,72,585337
"D","June-1996",28,153,1320665
"D","June-1997",43,271,2644830
"D","June-1998",45,251,2160398
"D","March-1993",1,1,800
"D","March-1994",7,41,352726
"D","March-1995",12,66,611545
"D","March-1996",24,114,900728
"D","March-1997",41,213,1580579
"D","March-1998",45,260,2266090
"D","May-1993",1,1,63
"D","May-1994",8,46,272319
"D","May-1995",12,67,594089
"D","May-1996",27,114,1120986
"D","May-1997",41,222,1581687
"D","May-1998",45,252,2117184
"D","November-1993",7,22,124388
"D","November-1994",11,56,396152
"D","November-1995",19,87,761606
"D","November-1996",36,169,1440600
"D","November-1997",45,264,2195192
"D","November-1998",45,240,1638015
"D","October-1993",5,18,95849
"D","October-1994",10,54,352030
"D","October-1995",17,82,708664
"D","October-1996",36,186,1641702
"D","October-1997",45,232,1598086
"D","October-1998",44,250,2394528
"D","September-1993",5,13,54255
"D","September-1994",10,53,325003
"D","September-1995",17,75,536124
"D","September-1996",34,161,1274161
"D","September-1997",45,247,1812774
"D","September-1998",45,253,1902653
